subj_id,RT,is_go_decision,tta_condition,d_condition,num_decision
627,2.9031,False,5.5,90,2
627,2.7529,False,5.5,90,2
627,1.7761,True,6.5,90,1
627,2.7327,False,6.5,90,2
627,1.7571,False,5.5,70,2
627,1.5543,False,5.5,70,2
627,1.6101,True,6.5,90,1
627,1.8442,False,6.5,70,2
627,3.1668,False,5.5,90,2
627,1.7965,True,5.5,90,1
627,2.2744,False,6.5,70,2
627,2.0306,False,5.5,70,2
627,2.3192,False,5.5,70,2
627,3.3547,False,5.5,90,2
627,1.5908,True,6.5,70,1
627,1.9035,True,6.5,70,1
627,3.2377,False,5.5,90,2
627,2.0701,False,5.5,70,2
627,2.1609,True,6.5,90,1
627,2.0585,False,5.5,70,2
627,2.4533,True,6.5,70,1
627,2.3243,False,6.5,70,2
627,1.9694,True,5.5,90,1
627,1.5692,True,5.5,90,1
627,2.3359,False,6.5,90,2
627,1.5754,True,6.5,90,1
627,1.7769,True,6.5,90,1
627,2.1799,False,5.5,70,2
627,2.4594,True,6.5,90,1
627,2.275,False,5.5,90,2
627,1.7297,True,6.5,70,1
627,2.5663,False,5.5,90,2
627,2.1829,True,6.5,90,1
627,2.3311,False,5.5,90,2
627,2.157,True,6.5,90,1
627,2.3301,False,5.5,90,2
627,2.531,False,6.5,70,2
627,1.8949,True,5.5,70,1
627,2.1258,False,6.5,70,2
627,1.4668,True,5.5,70,1
627,2.2654,False,5.5,70,2
627,1.8833,True,6.5,70,1
627,2.0919,False,5.5,90,2
627,2.1238,False,5.5,70,2
627,1.6958,True,5.5,70,1
627,1.7438,True,5.5,90,1
627,2.1683,True,6.5,70,1
627,2.1329,True,6.5,70,1
627,1.7618,True,6.5,90,1
627,2.2914,False,6.5,70,2
627,1.907,True,6.5,90,1
627,2.013,True,6.5,90,1
627,1.9251,False,5.5,70,2
627,2.2874,False,5.5,70,2
627,1.9419,True,5.5,90,1
627,1.8697,True,6.5,90,1
627,2.4418,False,5.5,90,2
628,2.6125,False,5.5,70,2
628,1.7437,True,6.5,90,1
628,2.3233,False,5.5,90,2
628,2.3402,False,5.5,70,2
628,2.6183,False,5.5,90,2
628,2.21060000000001,False,6.5,70,2
628,3.4221,False,6.5,70,2
628,2.3044,False,5.5,70,2
628,2.0319,True,6.5,90,1
628,1.7967,True,5.5,90,1
628,1.6991,True,6.5,90,1
628,1.9938,False,6.5,70,2
628,1.4111,True,5.5,70,1
628,1.8574,False,6.5,70,2
628,1.3898,True,6.5,90,1
628,2.0955,False,5.5,90,2
628,1.7803,False,6.5,70,2
628,1.9464,False,5.5,70,2
628,2.0803,False,5.5,90,2
628,1.7475,False,5.5,70,2
628,1.9185,False,5.5,70,2
628,1.4733,True,6.5,70,1
628,1.6822,True,6.5,90,1
628,2.064,False,6.5,90,2
628,1.3426,True,6.5,90,1
628,1.8466,False,6.5,70,2
628,1.8209,True,5.5,90,1
628,2.1154,False,5.5,70,2
628,1.6869,True,6.5,90,1
628,1.633,False,6.5,70,2
628,1.8981,False,6.5,70,2
628,1.7844,True,5.5,90,1
628,2.1486,True,6.5,90,1
628,1.7385,False,5.5,70,2
628,2.1395,True,6.5,70,1
628,1.8614,False,5.5,70,2
628,1.7775,False,5.5,70,2
628,1.5514,True,6.5,90,1
628,1.6644,False,5.5,70,2
628,2.2522,True,5.5,90,1
628,2.497,False,5.5,90,2
628,1.905,True,6.5,90,1
628,3.2839,False,6.5,90,2
628,2.014,False,6.5,70,2
628,1.7585,True,5.5,90,1
628,1.7765,True,6.5,70,1
628,1.8301,False,6.5,70,2
628,1.8336,True,6.5,90,1
628,1.9991,False,6.5,70,2
628,1.8847,False,5.5,70,2
628,2.0661,False,5.5,70,2
628,1.4561,True,6.5,90,1
628,1.5826,True,5.5,90,1
628,1.6897,True,5.5,90,1
628,1.988,False,5.5,90,2
628,2.1183,False,5.5,90,2
628,1.7492,True,6.5,90,1
628,1.5658,True,6.5,70,1
628,2.0036,False,6.5,70,2
628,1.9025,False,5.5,70,2
628,1.9815,False,5.5,70,2
628,1.6919,True,6.5,90,1
628,1.6514,False,5.5,70,2
628,1.585,True,5.5,90,1
628,2.017,False,6.5,70,2
628,1.7721,True,6.5,90,1
628,1.8132,False,6.5,70,2
628,1.7167,False,5.5,70,2
628,1.6761,False,6.5,70,2
628,1.7101,True,6.5,90,1
628,2.1433,False,5.5,90,2
628,1.6475,True,6.5,90,1
628,1.781,False,5.5,70,2
628,1.8643,False,5.5,70,2
628,1.586,True,5.5,90,1
628,1.6698,True,5.5,90,1
628,1.5949,True,6.5,90,1
628,1.92,False,6.5,70,2
628,1.9512,False,6.5,70,2
628,1.752,False,5.5,70,2
628,2.4706,False,5.5,90,2
628,1.8098,True,6.5,90,1
628,2.0242,False,6.5,70,2
628,3.1911,False,6.5,70,2
628,2.0115,False,5.5,70,2
628,1.7901,True,5.5,90,1
628,2.3289,True,6.5,90,1
628,1.7358,True,6.5,90,1
628,1.4332,True,6.5,90,1
628,1.6922,False,6.5,70,2
628,1.8446,True,5.5,90,1
628,1.8129,True,5.5,90,1
628,2.0809,False,5.5,70,2
628,2.8279,False,5.5,70,2
631,1.0986,True,5.5,90,1
631,1.2624,True,6.5,70,1
631,1.7077,True,6.5,70,1
631,1.2612,True,5.5,70,1
631,1.5839,True,6.5,90,1
631,1.0538,True,6.5,90,1
631,1.4292,True,5.5,70,1
631,1.8952,True,5.5,90,1
631,1.595,True,5.5,90,1
631,1.452,True,5.5,70,1
631,1.5242,True,6.5,70,1
631,1.5137,True,5.5,90,1
631,1.2342,True,6.5,70,1
631,1.4372,True,5.5,70,1
631,1.7871,True,6.5,90,1
631,1.4826,True,6.5,90,1
631,2.639,False,5.5,70,2
631,2.3804,False,5.5,70,2
